,HIT_ID,Posizione_1,Posizione_2,Posizione_3,Posizione_4,Posizione_5
0,HIT_1,Pair_AIPFQ5F25JFV3-B004D90FY0,Pair_A1ZIWE94JP5881-B011I87GXQ,Pair_A2KJQX9VHVHY12-B01FHNZXTW,Pair_A1CKLAJTWXD9WM-B00AZ4ITWW,Pair_AA94TRFOUR7HO-B013RPG6KM
1,HIT_2,Pair_A1ZIWE94JP5881-B011I87GXQ,Pair_A2KJQX9VHVHY12-B01FHNZXTW,Pair_A1CKLAJTWXD9WM-B00AZ4ITWW,Pair_AA94TRFOUR7HO-B013RPG6KM,Pair_A20WSZ029QZTV0-B01AG0LBRE
2,HIT_3,Pair_A2KJQX9VHVHY12-B01FHNZXTW,Pair_A1CKLAJTWXD9WM-B00AZ4ITWW,Pair_AA94TRFOUR7HO-B013RPG6KM,Pair_A20WSZ029QZTV0-B01AG0LBRE,Pair_A209U5K6AW8D5G-B01G5D6B26
3,HIT_4,Pair_A1CKLAJTWXD9WM-B00AZ4ITWW,Pair_AA94TRFOUR7HO-B013RPG6KM,Pair_A20WSZ029QZTV0-B01AG0LBRE,Pair_A209U5K6AW8D5G-B01G5D6B26,Pair_ATKOKG86BXBLW-B00CH9H1QI
4,HIT_5,Pair_AA94TRFOUR7HO-B013RPG6KM,Pair_A20WSZ029QZTV0-B01AG0LBRE,Pair_A209U5K6AW8D5G-B01G5D6B26,Pair_ATKOKG86BXBLW-B00CH9H1QI,Pair_A28D4972YVR48R-B001C0CT2O
5,HIT_6,Pair_A20WSZ029QZTV0-B01AG0LBRE,Pair_A209U5K6AW8D5G-B01G5D6B26,Pair_ATKOKG86BXBLW-B00CH9H1QI,Pair_A28D4972YVR48R-B001C0CT2O,Pair_AIGWKUECXVIAP-B00DQBWBPM
6,HIT_7,Pair_A209U5K6AW8D5G-B01G5D6B26,Pair_ATKOKG86BXBLW-B00CH9H1QI,Pair_A28D4972YVR48R-B001C0CT2O,Pair_AIGWKUECXVIAP-B00DQBWBPM,Pair_A3J58X1Z86ABG0-B00LBLVE5M
7,HIT_8,Pair_ATKOKG86BXBLW-B00CH9H1QI,Pair_A28D4972YVR48R-B001C0CT2O,Pair_AIGWKUECXVIAP-B00DQBWBPM,Pair_A3J58X1Z86ABG0-B00LBLVE5M,Pair_A1HY907Q1S3PQ2-B001DIQ5SE
8,HIT_9,Pair_A28D4972YVR48R-B001C0CT2O,Pair_AIGWKUECXVIAP-B00DQBWBPM,Pair_A3J58X1Z86ABG0-B00LBLVE5M,Pair_A1HY907Q1S3PQ2-B001DIQ5SE,Pair_A2H53T0PKZASO8-B000WWKGSW
9,HIT_10,Pair_AIGWKUECXVIAP-B00DQBWBPM,Pair_A3J58X1Z86ABG0-B00LBLVE5M,Pair_A1HY907Q1S3PQ2-B001DIQ5SE,Pair_A2H53T0PKZASO8-B000WWKGSW,Pair_A31MF2SR479RFL-B001Q1DXBU
10,HIT_11,Pair_A3J58X1Z86ABG0-B00LBLVE5M,Pair_A1HY907Q1S3PQ2-B001DIQ5SE,Pair_A2H53T0PKZASO8-B000WWKGSW,Pair_A31MF2SR479RFL-B001Q1DXBU,Pair_A1VGY05VGMXLJ0-B00X3N66F4
11,HIT_12,Pair_A1HY907Q1S3PQ2-B001DIQ5SE,Pair_A2H53T0PKZASO8-B000WWKGSW,Pair_A31MF2SR479RFL-B001Q1DXBU,Pair_A1VGY05VGMXLJ0-B00X3N66F4,Pair_AIPFQ5F25JFV3-B004D90FY0
12,HIT_13,Pair_A2H53T0PKZASO8-B000WWKGSW,Pair_A31MF2SR479RFL-B001Q1DXBU,Pair_A1VGY05VGMXLJ0-B00X3N66F4,Pair_AIPFQ5F25JFV3-B004D90FY0,Pair_A1ZIWE94JP5881-B011I87GXQ
13,HIT_14,Pair_A31MF2SR479RFL-B001Q1DXBU,Pair_A1VGY05VGMXLJ0-B00X3N66F4,Pair_AIPFQ5F25JFV3-B004D90FY0,Pair_A1ZIWE94JP5881-B011I87GXQ,Pair_A2KJQX9VHVHY12-B01FHNZXTW
14,HIT_15,Pair_A1VGY05VGMXLJ0-B00X3N66F4,Pair_AIPFQ5F25JFV3-B004D90FY0,Pair_A1ZIWE94JP5881-B011I87GXQ,Pair_A2KJQX9VHVHY12-B01FHNZXTW,Pair_A1CKLAJTWXD9WM-B00AZ4ITWW
