,product_asin,reviewer_id,reviewer_name,review_score,review_time,review_time_unix,review_summary,review_upvote,review_text,product_title,product_brand,id
996120,B013RPG6KM,AA94TRFOUR7HO,Courtney H. Holland,5,2016-02-14 00:00:00,1455408000,Five Stars,3.0,Perfect for my jewelry making application.,STEEL BLOCK SWAGE U-CHANNEL &amp; 6 HAMMER PUNCHES METAL FORMING DAPPING SHAPING (LZ 4.8 FRE) NOVELTOOLS,NOVELTOOLS,Pair_AA94TRFOUR7HO-B013RPG6KM
2033044,B00DQBWBPM,AIGWKUECXVIAP,RKG,5,2015-01-24 00:00:00,1422057600,Five Stars,4.0,Works perfect and fits my Janome New Home MC7700QCP perfectly.,Janome AcuFeed Ditch Quilting Foot,Janome,Pair_AIGWKUECXVIAP-B00DQBWBPM
761972,B001DIQ5SE,A1HY907Q1S3PQ2,Amazon Customer,5,2013-05-09 00:00:00,1368057600,Excellent pen for glitter,3.0,"It dries quickly and easy to add a small about of glitter to art work

I was also surprised that even when we lost the cap it didn't dry out.  We were able to get it to work again."," Tombow 62175 Glue Pen (1 Piece), Multicolor"" />",Tombow,Pair_A1HY907Q1S3PQ2-B001DIQ5SE
705652,B001Q1DXBU,A31MF2SR479RFL,charles adams,3,2010-04-04 00:00:00,1270339200,Has weak spots.,2.0,"It is fine for light duty work.  When you go to lace up something tight, it tends to break.",Genuine Split Suede Leather Lace Cord 3mm White (By The Yard),UnCommon Artistry,Pair_A31MF2SR479RFL-B001Q1DXBU
1967818,B00LBLVE5M,A3J58X1Z86ABG0,Kathy Broussard,5,2015-02-09 00:00:00,1423440000,but it's going to look great!! Perfect,2.0,"Haven't painted it yet, but it's going to look great!! Perfect!!",Unfinished Wood 3 Letter Vine Monogram 17.5'' X 26'',Laser Lizard,Pair_A3J58X1Z86ABG0-B00LBLVE5M
1605014,B01FHNZXTW,A2KJQX9VHVHY12,JS,2,2017-10-14 00:00:00,1507939200,Letters larger than expected,3.0,"These paper stencils are fine but the actual letters are bigger than advertised.  It lists the lowercase letters as 4"" but most of them are taller and wider.  For example, the lowercase ""w"" and ""m"" are 8"" wide x 4"" high and many others were 5"" x 5"".  They ended up being much too wide for my project so I returned them.","FolkArt Die Cut Paper Stencils, 38960E Richmond Alphabet (26 Pack)",FolkArt,Pair_A2KJQX9VHVHY12-B01FHNZXTW
1367903,B000WWKGSW,A2H53T0PKZASO8,A. Bresser,5,2013-07-08 00:00:00,1373241600,inkpad,2.0,"I cannot keep saying the same thing over and over, I love them, the colors are true, and vibrant, this is the perfect green for leaves, and trees. I have so many, they are great","Tsukineko Full-Size StazOn Multi-Surface Inkpad, Olive Green",Tsukineko,Pair_A2H53T0PKZASO8-B000WWKGSW
502812,B00CH9H1QI,ATKOKG86BXBLW,Julie,5,2016-10-14 00:00:00,1476403200,Great outdoor fabric,3.0,"High quality outdoor fabric. It is sturdy but flexible, has vibrant color, and will fray easily. Great for outdoor cushions or tote bags.

I hope this review helps. If so, please click the ""Yes"" button below. Thanks!","Richloom Fabrics Solarium Outdoor Veranda Yard, Turquoise",Richloom Fabrics,Pair_ATKOKG86BXBLW-B00CH9H1QI
946156,B00X3N66F4,A1VGY05VGMXLJ0,Tinywishes,5,2016-09-24 00:00:00,1474675200,"These scissors are so useful, cost-effective",2.0,"These scissors are so useful, cost-effective, and handy that we keep a pair in nearly every room of the house. And in the kitchen, we keep TWO pairs -- one to cut up herbs and such with (those stay in the knife drawer), and one to open bags and cut off tags with (that pair stays in the junk drawer). I've even put the kitchen pair in the dishwasher several times (which I'm sure can't be recommended, but I do it anyway), and they're still sharp. The handles are comfortable, and the price is right -- I highly recommend buying multiple packages, as you'll find great uses for them everywhere!","Westcott Recycled 8-Inch Straight Scissor, 3 Pack (16453)",Westcott,Pair_A1VGY05VGMXLJ0-B00X3N66F4
460966,B00AZ4ITWW,A1CKLAJTWXD9WM,reviewsRme,3,2013-12-14 00:00:00,1386979200,unclear it's working,2.0,i used it but i never noticed that the flowers lasted any longer than without it. so.... buy if you want,Floralife Spray On Fresh Flower Treatment - 32 oz.,Burton & Burton,Pair_A1CKLAJTWXD9WM-B00AZ4ITWW
